종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"008870","금비","44450","-450","-1.00","2636","16.86",,,"96925","0.46","1200","2.70"
"001570","금양","9900","0","0.00",,,,,"7186","1.38","0","0.00"
"282720","금양그린파워","12970","-430","-3.21","2","6485.00","604","21.48","7927","1.64","0","0.00"
"002990","금호건설","4535","-220","-4.63","1765","2.57","1655","2.74","6840","0.66","200","4.41"
"002995","금호건설우","14560","-10","-0.07",,,,,,,"350","2.40"
"011780","금호석유화학","142400","-6900","-4.62","11300","12.60","14259","9.99","244373","0.58","1700","1.19"
"011785","금호석유화학우","59100","-2200","-3.59",,,,,,,"1750","2.96"
"214330","금호에이치티","3665","165","4.71",,,,,"14000","0.26","0","0.00"
"001210","금호전기","831","-35","-4.04",,,,,"400","2.08","0","0.00"
"073240","금호타이어","5130","-310","-5.70","1209","4.24","1371","3.74","7065","0.73","0","0.00"
"036190","금화피에스시","36350","-1050","-2.81","5180","7.02",,,"65215","0.56","1600","4.40"
"049080","기가레인","1977","-93","-4.49",,,,,"487","4.06","0","0.00"
"420770","기가비스","114800","8100","7.59","1219","94.18","2321","49.45","16646","6.90","800","0.70"
